gene_id,gene_name,abundance
b1200,dhaK,331
b1818,manY,330
b0104,guaC,330
b3359,argD,329
b1662,ribC,328
b1479,maeA,328
b0098,secA,328
b3830,ysgA,327
b0296,ykgM,327
b2553,glnB,327
b0678,nagB,326
b3962,sthA,325
b3006,exbB,325
b1203,ychF,324
b3775,ppiC,324
b2905,gcvT,323
b0865,ybjP,323
b3941,metF,322
b1380,ldhA,321
b0809,glnQ,321
b4232,fbp,320
b1764,selD,317
b1612,fumA,315
b3472,dcrB,315
b4057,yjbR,315
b2569,lepA,315
b3836,tatA,313
b4175,hflC,313
b4160,psd,313
b4216,ytfJ,313
b3554,yiaF,312
b4260,pepA,310
b4517,gnsA,310
b1647,ydhF,310
b0125,hpt,309
b3362,yhfG,309
b2763,cysI,307
b0177,bamA,305
b0866,ybjQ,304
b2283,nuoG,304
b3602,yibL,303
b3429,glgA,303
b3113,tdcF,301
b1651,gloA,300
b0410,yajD,300
b1197,treA,299
b1262,trpC,299
b3008,metC,299
b2262,menB,299
b2903,gcvP,298
b3183,obgE,296
b0660,ybeZ,296
b3430,glgC,296
b1638,pdxH,295
b2796,sdaC,295
b3995,rsd,295
b3464,ftsY,294
b2662,gabT,294
b3644,yicC,293
b1257,yciE,291
b0386,proC,289
b0416,nusB,289
b2133,dld,289
b1658,purR,288
b0632,dacA,287
b3005,exbD,287
b0757,galK,286
b2131,osmF,286
b1685,ydiH,285
b3866,yihI,285
b3640,dut,284
b0156,erpA,283
b3846,fadB,282
b1901,araF,282
b0432,cyoA,282
b1264,trpE,281
b0422,xseB,280
b2027,wzzB,280
b2495,yfgD,280
b0742,ybgF,279
b2585,pssA,279
b3770,ilvE,278
b3401,hslO,276
b2022,hisB,276
b2608,rimM,275
b2103,thiD,275
b2512,bamB,274
b3448,yhhA,272
b1888,cheA,272
b1414,ydcF,272
b1930,yedF,271
b1887,cheW,270
b0800,ybiB,270
b1538,dcp,270
b3204,ptsN,269
b1267,yciO,269
b4235,pmbA,268
b0891,lolA,267
b3011,yqhD,267
b2938,speA,267
b0159,mtn,265
b3748,rbsD,265
b1449,curA,263
b2900,yqfB,263
b4154,frdA,262
b1827,kdgR,262
b1908,yecA,262
b3175,secG,261
b2977,glcG,261
b0031,dapB,261
b2764,cysJ,260
b3833,ubiE,260
b0801,ybiC,257
b2388,glk,256
b3201,lptB,256
b1127,pepT,255
b3052,hldE,255
b0435,bolA,255
b0238,gpt,255
b4393,trpR,253
b0882,clpA,252
b3287,def,252
b4002,zraP,252
b2901,bglA,252
b2287,nuoB,249
b3863,polA,248
b2235,nrdB,248
b2842,kduD,247
b0598,cstA,246
b0963,mgsA,244
b0450,glnK,244
b3300,secY,244
b0028,fkpB,243
b0945,pyrD,243
b0015,dnaJ,243
b0526,cysS,243
b1780,yeaD,242
b1412,azoR,242
b4135,yjdC,242
b4518,ymdF,241
b2610,ffh,240
b4107,yjdN,240
b2672,ygaM,239
b2320,pdxB,239
b4506,ykgO,239
b0243,proA,239
b2281,nuoI,239
b2893,dsbC,238
b3346,yheO,237
b0966,hspQ,237
b1042,csgA,236
b1071,flgM,235
b3698,yidB,234
b1749,xthA,234
b3617,kbl,231
b2951,yggS,231
b0419,yajO,231
b4407,thiS,230
b0679,nagE,230
b0570,cusS,229
b3945,gldA,229
b1517,lsrF,229
b0699,ybfA,228
b2533,suhB,227
b3939,metB,227
b2511,der,227
b3599,mtlA,226
b2827,thyA,226
b2426,ucpA,225
b1035,ycdY,224
b2241,glpA,222
b3190,ibaG,222
b0594,entE,222
b2595,bamD,221
b0451,amtB,221
b2104,thiM,221
b2684,mprA,219
b2751,cysN,218
b2564,pdxJ,217
b0389,yaiA,216
b3922,yiiS,215
b2041,rfbB,215
b0593,entC,214
b3291,mscL,213
b0287,yagU,213
b3959,argB,212
b2947,gshB,212
b1983,yeeN,211
b2957,ansB,210
b0345,lacI,210
b3780,rhlB,209
b0721,sdhC,209
b3923,uspD,208
b0344,lacZ,208
b1128,roxA,208
b0179,lpxD,207
b1955,yedP,207
b3566,xylF,206
b2752,cysD,206
b2026,hisI,206
b0910,cmk,206
b4179,rnr,205
b3845,fadA,205
b4355,tsr,205
b2284,nuoF,205
b0557,borD,204
b2303,folX,203
b3390,aroK,203
b2741,rpoS,203
b1723,pfkB,202
b0387,yaiI,201
b1334,fnr,201
b1033,ghrA,201
b2909,ygfB,200
b4254,argI,200
b3701,dnaN,200
b3511,hdeD,199
b0864,artP,198
b1876,argS,198
b2285,nuoE,198
b1830,prc,197
b1928,yedD,196
b4406,yaeP,196
b3661,nlpA,196
b0573,cusF,196
b1256,ompW,195
b3687,ibpA,195
b0411,tsx,195
b0369,hemB,194
b2524,iscX,194
b2431,yfeX,194
b3409,feoB,193
b3150,yraP,193
b4322,uxuA,193
b0687,seqA,192
b2910,zapA,191
b0918,kdsB,190
b1623,add,190
b1738,chbB,189
b0528,ybcJ,189
b2016,yeeZ,188
b2300,yfcE,187
b3288,fmt,185
b3500,gor,185
b0393,rdgC,185
b0596,entA,185
b1792,yeaO,184
b1646,sodC,184
b4024,lysC,184
b2515,ispG,183
b2958,yggN,183
b0830,gsiB,182
b0990,cspG,182
b3028,mdaB,182
b1279,yciS,181
b0003,thrB,181
b1896,otsA,181
b3932,hslV,181
b0212,gloB,180
b1430,tehB,180
b1682,sufC,180
b1725,yniA,179
b3417,malP,179
b2025,hisF,179
b0773,ybhB,178
b0923,mukE,178
b4554,yibT,176
b0077,ilvI,176
b0641,lptE,176
b3388,damX,175
b3003,yghA,175
b3279,yrdA,175
b2790,yqcA,175
b1586,ynfD,175
b2023,hisH,173
b3743,asnC,173
b1286,rnb,173
b3356,yhfA,172
b2107,rcnB,171
b3389,aroB,171
b2576,srmB,171
b4382,deoA,171
b3803,hemX,171
b4558,yifL,170
b2601,aroF,169
b2312,purF,169
b0908,aroA,169
b0870,ltaE,168
b2954,rdgB,168
b0927,ycbL,168
b3865,yihA,167
b3697,yidA,167
b0196,rcsF,166
b4035,malK,166
b3526,kdgK,165
b0586,entF,165
b3807,cyaY,164
b0121,speE,164
b3960,argH,164
b2843,kduI,164
b3200,lptA,164
b2187,yejL,162
b0529,folD,162
b2762,cysH,162
b3102,yqjG,161
b0381,ddlA,161
b3228,sspB,161
b1832,msrC,161
b3670,ilvN,160
b3993,thiE,159
b2916,argP,159
b1583,ynfB,159
b1018,efeO,158
b3439,yhhW,158
b3068,mug,157
b2169,fruB,157
b2676,nrdF,157
b0109,nadC,157
b2834,tas,157
b0094,ftsA,156
b3616,tdh,156
b3463,ftsE,156
b3189,murA,155
b0827,moeA,155
b1678,ldtE,155
b3816,corA,155
b2532,trmJ,154
b3191,mlaB,154
b4396,rob,153
b0825,fsaA,153
b3055,ygiM,153
b1199,dhaL,152
b1087,yceF,152
b0068,thiB,152
b3961,oxyR,151
b2679,proX,151
b4162,orn,151
b1748,astC,151
b2988,gss,150
b3592,yibF,149
b2288,nuoA,149
b0480,ushA,149
b0851,nfsA,149
b3461,rpoH,149
b1105,lpoB,148
b0628,lipA,148
b1680,sufS,147
b1274,topA,147
b2183,rsuA,147
b2319,usg,145
b1070,flgN,145
b0242,proB,144
b2232,ubiG,144
b4013,metA,144
b0805,fiu,143
b2113,mrp,143
b0356,frmA,143
b0686,ybfF,142
b4021,pepE,142
b4375,prfC,142
b4303,sgcQ,141
b1478,adhP,140
b3705,yidC,140
b3385,gph,140
b0481,ybaK,140
b0431,cyoB,140
b2799,fucO,139
b1704,aroH,139
b1564,relB,139
b0956,matP,137
b2304,yfcH,137
b2571,rseB,137
b3639,dfp,136
b4565,sgcB,136
b3153,yhbO,135
b0610,rnk,135
b3910,yiiM,135
b2421,cysM,135
b0677,nagA,134
b2242,glpB,134
b0820,ybiT,133
b3114,tdcE,133
b1187,fadR,133
b2567,rnc,133
b0931,pncB,133
b1867,yecD,132
b0424,yajL,132
b0675,umpH,132
b0357,frmR,131
b3607,cysE,20632.5
b0651,rihA,130
b3725,pstB,130
b3428,glgP,130
b2299,yfcD,130
b0131,panD,130
b0189,rof,129
b0785,moaE,129
b2329,aroC,129
b1272,sohB,129
b2960,trmI,128
b4041,plsB,128
b1661,cfa,128
b3608,gpsA,128
b3957,argE,127
b2471,yffB,127
b4537,yecJ,127
b3087,ygjR,126
b4068,yjcH,126
b3730,glmU,125
b1727,yniC,125
b4064,ghxP,125
b1536,ydeI,125
b2168,fruK,124
b1189,dadA,124
b4208,cycA,124
b0452,tesB,124
b3648,gmk,123
b4122,fumB,123
b0207,dkgB,122
b1133,mnmA,122
b3408,feoA,122
b3885,yihX,122
b1056,yceI,122
b1305,pspB,122
b0408,secD,121
b1275,cysB,121
b1782,mipA,121
b0394,mak,121
b3041,ribB,120
b3686,ibpB,120
b2065,dcd,120
b3193,mlaD,119
b3407,yhgF,119
b1760,ynjH,119
b0443,fadM,119
b0085,murE,119
b3244,tldD,119
b3924,fpr,118
b2412,zipA,118
b1861,ruvA,118
b1329,mppA,116
b3724,phoU,116
b1179,ycgL,115
b0849,grxA,115
b0902,pflA,115
b1917,yecC,114
b4233,mpl,114
b0484,copA,114
b1976,mtfA,113
b2009,sbmC,113
b0783,moaC,112
b1088,yceD,112
b1487,ddpA,112
b2149,mglA,112
b4111,proP,112
b3259,prmA,111
b1737,chbC,111
b1829,htpX,110
b0571,cusR,110
b2872,ygeY,110
b1217,chaB,110
b2688,gshA,110
b4036,lamB,110
b1946,fliN,110
b4305,sgcX,109
b0334,prpD,109
b2040,rfbD,109
b1059,solA,109
b0658,ybeX,109
b1953,yodD,108
b0199,metN,108
b0082,rsmH,108
b0413,nrdR,107
b2897,sdhE,107
b3887,dtd,107
b3440,yhhX,106
b0637,rsfS,106
b1846,yebE,106
b2994,hybC,106
b3161,mtr,105
b2948,yqgE,105
b1557,cspB,104
b2418,pdxK,104
b1117,lolD,104
b2167,fruA,104
b3089,sstT,103
b3844,fre,103
b3997,hemE,103
b0150,fhuA,103
b3706,mnmE,103
b2568,lepB,101
b3455,livG,101
b1209,lolB,101
b4222,ytfP,101
b3125,garR,100
b4138,dcuA,99.8
b3527,yhjJ,99.7
b1537,ydeJ,99.2
b3282,tsaC,98.7
b1045,ymdB,98.6
b1581,rspA,98.6
b0659,ybeY,98.1
b4487,yjdP,98.1
b1729,ydjN,97.4
b1423,ydcJ,97.3
b2253,arnB,97.3
b1281,pyrF,97.1
b3170,rimP,96.4
b4168,tsaE,96.3
b4067,actP,96.1
b1083,flgL,95.9
b2024,hisA,95.7
b2186,yejK,94.8
b4213,cpdB,94.7
b3197,kdsD,94.6
b2450,yffS,94.2
b0390,aroM,94.1
b1912,pgsA,93.8
b0924,mukB,93.4
b0054,lptD,93.4
